photo_id,airline,aircraft_model,aircraft_variant,aircraft_family,aircraft_manufacturer,registration,msn,location,date,photographer,image_filename,caption
8067325,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JGS,34416,Istanbul - Sabiha Gokcen (SAW / LTFJ),"March 28, 2026",Nurettin Sevdik,8067325.jpg,
8075431,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHM,66309,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 12, 2026",Nurettin Sevdik,8075431.jpg,
8035731,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JGR,34415,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 8, 2026",Ilgaz DEGER,8035731.jpg,
8093855,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHL,66759,Amsterdam - Schiphol (AMS / EHAM),"April 28, 2026",Christian Schürmann,8093855.jpg,
8093637,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JHF,35745,Istanbul - Sabiha Gokcen (SAW / LTFJ),"May 9, 2026",Nurettin Sevdik,8093637.jpg,
8079685,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-VFG,60721,Seattle - Boeing Field / King County International (BFI / KBFI),"April 18, 2026",powwwiii,8079685.jpg,
8077089,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-LAK,61848,Zurich (- Kloten) (ZRH / LSZH),"April 7, 2026",Marvin Knitl,8077089.jpg,
8075153,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHY,66311,Seattle - Boeing Field / King County International (BFI / KBFI),"April 9, 2026",powwwiii,8075153.jpg,
8097753,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHV,66762,Istanbul - Sabiha Gokcen (SAW / LTFJ),"May 15, 2026",Nurettin Sevdik,8097753.jpg,First photo of this airframe in Airliners.net
8078871,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHP,66310,Istanbul - Ataturk (Yesilkoy) (ISL / LTBA),"April 15, 2026",Nurettin Sevdik,8078871.jpg,
8041325,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-LAK,61848,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 18, 2026",Ilgaz DEGER,8041325.jpg,
8064385,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-LAF,65741,Istanbul - Sabiha Gokcen (SAW / LTFJ),"March 17, 2026",Ilgaz DEGER,8064385.jpg,
8095611,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-LAH,61845,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"April 24, 2026",Javier Rodriguez - Amics de Son Sant Joan,8095611.jpg,
8072877,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHH,66761,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 6, 2026",Ilgaz DEGER,8072877.jpg,
8021817,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JHE,35744,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"June 29, 2024",Manu Aldana,8021817.jpg,
8062895,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHH,66761,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 19, 2026",Nurettin Sevdik,8062895.jpg,
8035765,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JFC,29765,Hanover (- Langenhagen) (HAJ / EDDV),"April 2, 2025",Bernd Borchert,8035765.jpg,
8083389,AJet,Boeing 737-8KV,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JZZ,60176,Vienna - Schwechat (VIE / LOWW),"April 23, 2026",M. Oswald,8083389.jpg,
8093627,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-VFF,62960,Istanbul - Sabiha Gokcen (SAW / LTFJ),"May 9, 2026",Nurettin Sevdik,8093627.jpg,
8128181,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHK,66764,Istanbul - Sabiha Gokcen (SAW / LTFJ),"June 27, 2026",Nurettin Sevdik,8128181.jpg,First photo of this reg in Airliners.net
8072317,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-LAE,44656,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 5, 2026",Ilgaz DEGER,8072317.jpg,
8085031,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHS,60718,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"April 25, 2026",Konstantin von Wedelstaedt,8085031.jpg,
8107129,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHR,61301,Dusseldorf - International (Rhein-Ruhr / Lohausen) (DUS / EDDL),"May 23, 2026",Christian Schürmann,8107129.jpg,
8081813,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JGY,35738,Madrid - Adolfo Suarez / Barajas (MAD / LEMD),"April 16, 2026",Toni Marimon,8081813.jpg,
8085253,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHA,65213,Vienna - Schwechat (VIE / LOWW),"April 25, 2026",M. Oswald,8085253.jpg,
8062891,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHI,66763,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 19, 2026",Nurettin Sevdik,8062891.jpg,
8037863,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHJ,66651,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 14, 2026",Ilgaz DEGER,8037863.jpg,First time on database.
8131265,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-VFL,62965,Istanbul - Sabiha Gokcen (SAW / LTFJ),"July 2, 2026",Ilgaz DEGER,8131265.jpg,First time on database.
8054083,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JFT,29780,Moscow - Vnukovo (VKO / UUWW),"July 29, 2025",FoxbatRU,8054083.jpg,"Flight  Istanbul (SAW) - Moscow (VKO). This plane is named Kastamonu. Kastamonu, formerly Kastamone/Castamone and Kastamon/Castamon is a city in northern Turkey."
8051351,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VP-BET,7071,Moscow - Sheremetyevo (SVO / UUEE),"September 16, 2021",Aleksey Lisitsyn,8051351.jpg,
8100805,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73768,7646,Saint Petersburg (Leningrad) - Pulkovo (LED / ULLI),"July 12, 2025",Oleg Chaplin,8100805.jpg,
8016707,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VQ-BCN,3954,London - Heathrow (LHR / EGLL),"March 25, 2017",MP Aviation - AHKGAP,8016707.jpg,"As attractive as this scheme is, I think the previous cheatline-based livery looked much better. I often picture what the A320 family & A330 would've looked like in the old livery."
8097271,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VP-BLR,5585,Moscow - Sheremetyevo (SVO / UUEE),"June 7, 2021",Gennady Misko,8097271.jpg,"""P. Yablochkov"". It's now RA-73752."
8100777,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VQ-BSU,6090,Moscow - Sheremetyevo (SVO / UUEE),"June 7, 2021",Gennady Misko,8100777.jpg,"""G. Zhukov"". It's now RA-73763."
8056455,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73745,5421,Nizhny Novgorod (Gorky) - Strigino (GOJ / UWGG),"January 1, 2026",Senior,8056455.jpg,
8041567,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73768,7646,Nizhny Novgorod (Gorky) - Strigino (GOJ / UWGG),"February 1, 2026",Senior,8041567.jpg,
8100527,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VP-BWD,2116,Barcelona (- El Prat) (BCN / LEBL),"April 5, 2009",Javier Gonzalez - Iberian Spotters,8100527.jpg,
8098639,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73176,4712,Moscow - Sheremetyevo (SVO / UUEE),"May 14, 2026",Osipov Dmitry,8098639.jpg,"""V.Vernadsky"" Ex.VQ-BKT"
8020373,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VP-BAD,7240,Saint Petersburg (Leningrad) - Pulkovo (LED / ULLI),"August 14, 2016",Luba Ostrovskaya,8020373.jpg,
8035709,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73773,7846,Perm - Bolshoye Savino (PEE / USPP),"January 13, 2026",Kirill Mushak,8035709.jpg,
8018963,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VP-BLL,5572,Palma de Mallorca (- Son San Juan) (PMI / LEPA / LESJ),"October 25, 2019",Toni Marimon,8018963.jpg,
8033615,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VP-BAD,7240,Palma de Mallorca (- Son San Juan) (PMI / LEPA / LESJ),"July 28, 2019",Jose Luis Guerrero - Iberian Spotters,8033615.jpg,
8011221,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73170,7279,Nizhny Novgorod (Gorky) - Strigino (GOJ / UWGG),"January 1, 2026",Senior,8011221.jpg,
8085609,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73755,5921,Moscow - Sheremetyevo (SVO / UUEE),"April 24, 2026",Osipov Dmitry,8085609.jpg,"""D. Likhachev"" Ex.VQ-BPU"
8072795,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73172,8234,Moscow - Sheremetyevo (SVO / UUEE),"April 4, 2026",Osipov Dmitry,8072795.jpg,"""I. Poddubny"" Ex.VP-BIL"
8048005,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,VP-BME,3699,Geneva - International (Cointrin) (GVA / LSGG),"June 14, 2014",Daniel Schwinn,8048005.jpg,
8033483,Aeroflot,Airbus A320-214,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73753,5614,Minsk - 2 (Velikiydvor) (MSQ / UMMS),"January 30, 2026",BizavMen,8033483.jpg,
8086183,Aeroflot,Airbus A320-214(WL),Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,RA-73770,7806,Saint Petersburg (Leningrad) - Pulkovo (LED / ULLI),"October 18, 2025",Oleg Chaplin,8086183.jpg,S.Prokofiev
8083129,Aeroflot,Airbus A321-211,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,RA-73163,5790,Krasnoyarsk - Yemelyanovo (KJA / UNKL),"April 22, 2026",Dmitry Zhigalov,8083129.jpg,Canon 1D Mark IV + EF 600mm f/4L IS II USM + EF 2x III Extender + Kolari 6-stop ND filter
8035963,Aeroflot,Airbus A321-211,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,RA-73160,5881,Saint Petersburg (Leningrad) - Pulkovo (LED / ULLI),"October 18, 2025",Oleg Chaplin,8035963.jpg,E.Vakhtangov
8076773,Aeroflot,Airbus A321-211,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,RA-73726,7782,Moscow - Sheremetyevo (SVO / UUEE),"September 13, 2024",Gennady Misko,8076773.jpg,"""S. Rachmaninoff"".
Ex.VP-BKR."
8037593,Aeroflot,Airbus A321-211,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,RA-73163,5790,Moscow - Sheremetyevo (SVO / UUEE),"February 12, 2026",Osipov Dmitry,8037593.jpg,"""K.Stanislavsky"".Ex.VP-BTG"
8101289,Aeroflot,Airbus A321-211,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,VP-BUP,3334,Barcelona (- El Prat) (BCN / LEBL),"August 2, 2009",Javier Gonzalez - Iberian Spotters,8101289.jpg,
8075353,Aeroflot,Airbus A321-211,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,RA-73723,7667,Moscow - Sheremetyevo (SVO / UUEE),"September 13, 2024",Gennady Misko,8075353.jpg,"""F. Volkov"".
Ex.VP-BFK."
